time_elapsed,mode,fps,inference_ms,confidence
34.87,heuristic,46.9,0.0,0.0
34.94,heuristic,37.3,0.0,0.0
35.01,heuristic,42.5,0.0,0.0
35.1,heuristic,30.1,0.0,0.0
35.17,heuristic,43.5,0.0,0.0
35.23,heuristic,48.2,0.0,0.0
35.3,heuristic,33.4,0.0,0.0
35.37,heuristic,48.0,0.0,0.0
35.43,heuristic,42.5,0.0,0.0
35.51,heuristic,38.3,0.0,0.0
35.59,heuristic,46.2,0.0,0.0
35.66,heuristic,42.2,0.0,0.0
35.74,heuristic,42.7,0.0,0.0
35.82,heuristic,46.1,0.0,0.0
35.88,heuristic,45.7,0.0,0.0
35.96,heuristic,42.6,0.0,0.0
36.02,heuristic,45.0,0.0,0.0
36.1,heuristic,39.2,0.0,0.0
36.17,heuristic,48.2,0.0,0.0
36.23,heuristic,43.6,0.0,0.0
36.32,heuristic,34.5,0.0,0.0
36.39,heuristic,46.4,0.0,0.0
36.46,heuristic,37.9,0.0,0.0
36.53,heuristic,40.4,0.0,0.0
36.61,heuristic,42.6,0.0,0.0
36.68,heuristic,42.3,0.0,0.0
36.76,heuristic,45.3,0.0,0.0
36.84,heuristic,42.6,0.0,0.0
36.91,heuristic,46.0,0.0,0.0
36.99,heuristic,29.4,0.0,0.0
37.06,heuristic,52.5,0.0,0.0
37.13,heuristic,49.5,0.0,0.0
37.19,heuristic,49.3,0.0,0.0
37.26,heuristic,41.0,0.0,0.0
37.34,heuristic,40.4,0.0,0.0
37.42,heuristic,32.8,0.0,0.0
37.49,heuristic,39.8,0.0,0.0
37.57,heuristic,34.7,0.0,0.0
37.65,heuristic,38.9,0.0,0.0
37.73,heuristic,36.4,0.0,0.0
37.8,heuristic,38.1,0.0,0.0
37.89,heuristic,28.0,0.0,0.0
37.98,heuristic,28.0,0.0,0.0
38.08,heuristic,23.8,0.0,0.0
38.17,heuristic,28.2,0.0,0.0
38.24,heuristic,42.2,0.0,0.0
38.32,heuristic,29.8,0.0,0.0
38.39,heuristic,45.0,0.0,0.0
38.46,heuristic,40.4,0.0,0.0
38.53,heuristic,39.2,0.0,0.0
38.59,heuristic,47.6,0.0,0.0
38.66,heuristic,46.6,0.0,0.0
38.73,heuristic,44.6,0.0,0.0
38.79,heuristic,45.0,0.0,0.0
38.87,heuristic,44.7,0.0,0.0
38.93,heuristic,51.9,0.0,0.0
38.99,heuristic,45.2,0.0,0.0
39.06,heuristic,40.3,0.0,0.0
39.15,heuristic,28.7,0.0,0.0
39.23,heuristic,29.4,0.0,0.0
39.31,heuristic,30.6,0.0,0.0
39.39,heuristic,28.5,0.0,0.0
39.47,heuristic,42.3,0.0,0.0
39.55,heuristic,31.0,0.0,0.0
39.61,heuristic,43.2,0.0,0.0
39.69,heuristic,31.1,0.0,0.0
39.76,heuristic,41.8,0.0,0.0
39.84,heuristic,40.0,0.0,0.0
39.91,heuristic,40.6,0.0,0.0
39.99,heuristic,42.1,0.0,0.0
40.08,heuristic,25.6,0.0,0.0
40.16,heuristic,36.0,0.0,0.0
40.23,heuristic,41.3,0.0,0.0
40.31,heuristic,34.2,0.0,0.0
40.38,heuristic,37.7,0.0,0.0
40.45,heuristic,41.7,0.0,0.0
40.52,heuristic,44.9,0.0,0.0
40.58,heuristic,46.0,0.0,0.0
40.64,heuristic,52.4,0.0,0.0
40.71,heuristic,46.7,0.0,0.0
40.78,heuristic,39.1,0.0,0.0
40.85,heuristic,38.5,0.0,0.0
40.93,heuristic,30.1,0.0,0.0
41.01,heuristic,37.8,0.0,0.0
41.08,heuristic,42.0,0.0,0.0
41.15,heuristic,41.6,0.0,0.0
41.21,heuristic,40.4,0.0,0.0
41.29,heuristic,39.7,0.0,0.0
41.36,heuristic,44.7,0.0,0.0
41.43,heuristic,39.4,0.0,0.0
41.53,heuristic,22.8,0.0,0.0
41.6,heuristic,43.9,0.0,0.0
41.68,heuristic,44.7,0.0,0.0
41.76,heuristic,31.0,0.0,0.0
41.84,heuristic,40.1,0.0,0.0
41.92,heuristic,36.2,0.0,0.0
41.99,heuristic,35.0,0.0,0.0
42.07,heuristic,50.0,0.0,0.0
42.13,heuristic,44.1,0.0,0.0
42.21,heuristic,27.6,0.0,0.0
42.28,heuristic,35.7,0.0,0.0
42.37,heuristic,26.3,0.0,0.0
42.45,heuristic,35.0,0.0,0.0
42.51,heuristic,39.5,0.0,0.0
42.59,heuristic,35.1,0.0,0.0
42.66,heuristic,40.3,0.0,0.0
42.74,heuristic,45.1,0.0,0.0
42.81,heuristic,43.2,0.0,0.0
42.88,heuristic,38.5,0.0,0.0
42.96,heuristic,34.8,0.0,0.0
43.02,heuristic,41.4,0.0,0.0
43.1,heuristic,27.9,0.0,0.0
43.18,heuristic,31.4,0.0,0.0
43.27,heuristic,32.9,0.0,0.0
43.34,heuristic,39.6,0.0,0.0
43.41,heuristic,37.9,0.0,0.0
43.49,heuristic,34.0,0.0,0.0
43.56,heuristic,42.1,0.0,0.0
43.63,heuristic,44.2,0.0,0.0
43.69,heuristic,46.2,0.0,0.0
43.76,heuristic,42.7,0.0,0.0
43.83,heuristic,33.4,0.0,0.0
43.89,heuristic,52.4,0.0,0.0
43.97,heuristic,40.2,0.0,0.0
44.05,heuristic,42.8,0.0,0.0
44.11,heuristic,42.5,0.0,0.0
44.18,heuristic,41.1,0.0,0.0
44.25,heuristic,52.0,0.0,0.0
44.32,heuristic,40.6,0.0,0.0
44.41,heuristic,36.0,0.0,0.0
44.48,heuristic,46.4,0.0,0.0
44.55,heuristic,36.9,0.0,0.0
44.62,heuristic,41.2,0.0,0.0
44.69,heuristic,41.1,0.0,0.0
44.76,heuristic,39.6,0.0,0.0
44.82,heuristic,50.9,0.0,0.0
44.89,heuristic,33.8,0.0,0.0
44.96,heuristic,45.6,0.0,0.0
45.02,heuristic,43.4,0.0,0.0
45.08,heuristic,44.6,0.0,0.0
45.15,heuristic,44.5,0.0,0.0
45.22,heuristic,41.9,0.0,0.0
45.29,heuristic,38.2,0.0,0.0
45.36,heuristic,49.3,0.0,0.0
45.43,heuristic,34.6,0.0,0.0
45.5,heuristic,49.4,0.0,0.0
45.57,heuristic,47.4,0.0,0.0
45.64,heuristic,42.0,0.0,0.0
45.7,heuristic,47.7,0.0,0.0
45.77,heuristic,40.6,0.0,0.0
45.84,heuristic,36.6,0.0,0.0
45.91,heuristic,44.3,0.0,0.0
45.97,heuristic,36.7,0.0,0.0
46.04,heuristic,40.7,0.0,0.0
46.11,heuristic,45.2,0.0,0.0
46.18,heuristic,37.0,0.0,0.0
46.25,heuristic,38.4,0.0,0.0
46.31,heuristic,46.4,0.0,0.0
46.38,heuristic,41.2,0.0,0.0
46.45,heuristic,47.0,0.0,0.0
46.53,heuristic,37.2,0.0,0.0
46.6,heuristic,47.9,0.0,0.0
46.66,heuristic,42.2,0.0,0.0
46.73,heuristic,43.9,0.0,0.0
46.8,heuristic,32.1,0.0,0.0
46.87,heuristic,42.9,0.0,0.0
46.94,heuristic,39.9,0.0,0.0
47.01,heuristic,36.6,0.0,0.0
47.07,heuristic,49.2,0.0,0.0
47.14,heuristic,47.1,0.0,0.0
47.21,heuristic,41.1,0.0,0.0
47.28,heuristic,40.6,0.0,0.0
47.35,heuristic,46.8,0.0,0.0
47.41,heuristic,53.5,0.0,0.0
47.49,heuristic,39.7,0.0,0.0
47.56,heuristic,46.1,0.0,0.0
47.62,heuristic,42.9,0.0,0.0
47.69,heuristic,42.2,0.0,0.0
47.77,heuristic,39.1,0.0,0.0
47.84,heuristic,40.5,0.0,0.0
47.92,heuristic,34.6,0.0,0.0
47.99,heuristic,48.6,0.0,0.0
48.06,heuristic,49.1,0.0,0.0
48.12,heuristic,41.5,0.0,0.0
48.2,heuristic,44.8,0.0,0.0
48.28,heuristic,37.7,0.0,0.0
48.34,heuristic,47.3,0.0,0.0
48.42,heuristic,35.3,0.0,0.0
48.49,heuristic,43.2,0.0,0.0
48.56,heuristic,43.9,0.0,0.0
48.63,heuristic,43.8,0.0,0.0
48.7,heuristic,39.9,0.0,0.0
48.77,heuristic,44.1,0.0,0.0
48.83,heuristic,44.8,0.0,0.0
48.91,heuristic,38.7,0.0,0.0
48.98,heuristic,42.2,0.0,0.0
49.05,heuristic,39.1,0.0,0.0
49.11,heuristic,41.3,0.0,0.0
49.17,heuristic,47.3,0.0,0.0
49.25,heuristic,45.1,0.0,0.0
49.33,heuristic,36.1,0.0,0.0
49.4,heuristic,46.9,0.0,0.0
